rank,ts_code,symbol,name,industry,area,value_score,quality_score,total_score,rating,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,roe,roe_waa,gross_margin,current_ratio,quick_ratio,eps_5y_cagr,revenue_5y_cagr,data_years,total_mv,circ_mv,close,list_date
84,605338.SH,605338,巴比食品,食品,上海,35.0,60.0,47.5,C+,24.5982,24.9221,2.9108,4.0705,3.6598,2.8169,2.8169,12.3813,12.24,,2.75,2.6006,(0.14119480431491138+0j),0.0168645441129065,3,680369.3201,680369.3201,28.4,20201012
85,301039.SZ,301039,中集车辆,汽车整车,深圳,60.0,35.0,47.5,C+,17.319,21.7477,1.2935,0.8952,0.9312,2.7916,2.7916,7.4366,7.42,,2.1051,1.5127,(-0.3224925141058418+0j),-0.0507323534775268,3,1879746.7933,1456784.7825,10.03,20210708
86,601988.SH,601988,中国银行,银行,北京,85.0,10.0,47.5,C+,7.153,7.0964,0.6448,2.7001,2.6461,6.1275,4.1064,8.7349,9.5,,,,(0.006734082821036491+0j),0.0057493404941129,3,170128153.4378,111284191.8387,5.28,20060705
87,603909.SH,603909,建发合诚,建筑工程,福建,45.0,48.0,46.5,C+,32.5272,28.5201,2.7672,0.4705,0.4376,1.0059,1.0059,9.2457,9.26,,1.2413,1.189,(0.20431542485615495+0j),0.2941767562685287,3,310983.056,310983.056,11.93,20160628
88,600559.SH,600559,老白干酒,白酒,河北,40.0,53.0,46.5,C+,18.0254,22.4795,2.6896,2.6482,3.0843,3.5461,3.5461,15.5615,15.56,,1.4572,0.603,(0.08539494737207165+0j),0.009490047450694,3,1418773.2856,1410649.1476,15.51,20021029
89,600480.SH,600480,凌云股份,汽车配件,河北,60.0,33.0,46.5,C+,21.8934,19.3155,1.8415,0.7618,0.7336,2.8176,2.8176,9.0529,9.01,,1.3757,1.148,(0.014389228672296639+0j),0.0036748218659061,3,1434961.9173,1413686.1704,11.74,20030815
90,600639.SH,600639,浦东金桥,园区开发,上海,60.0,32.0,46.0,C+,11.8632,12.5153,0.8206,4.3623,5.6459,3.0472,3.0472,6.9976,7.0,,1.9611,0.5008,(-0.2575983517285213+0j),-0.3567544074259779,3,1188635.2537,900400.6685,10.59,19930326
91,000700.SZ,700,模塑科技,汽车配件,江苏,40.0,52.0,46.0,C+,20.4469,27.7011,3.4452,1.7946,1.8309,1.5556,2.3427,18.0139,17.31,,0.939,0.7541,(0.18096698793186738+0j),-0.0954458665800339,3,1280631.4677,1280631.4677,13.95,19970228
92,605050.SH,605050,福然德,仓储物流,上海,60.0,32.0,46.0,C+,21.3808,18.9195,1.5907,0.6004,0.5802,2.5425,2.5337,7.4295,7.46,,1.7063,1.3494,(-0.13227816872537534+0j),0.074875437417414,3,677147.2947,677147.2947,13.74,20200924
93,002835.SZ,2835,同为股份,IT设备,深圳,25.0,67.0,46.0,C+,18.9093,22.1957,3.0804,3.2626,3.4432,1.8459,1.8459,17.9977,18.12,,3.6959,3.0846,(0.15470053837925168+0j),0.0346077209434838,3,379066.0188,219826.7197,17.27,20161228
94,600033.SH,600033,福建高速,路桥,福建,60.0,32.0,46.0,C+,13.3921,12.9224,0.8504,3.4556,3.4221,2.6247,2.6247,6.8532,6.87,,1.7511,1.7434,(-0.06980236513809801+0j),-0.0038772067910161,3,1045616.4,1045616.4,3.81,20010209
95,601169.SH,601169,北京银行,银行,北京,85.0,5.0,45.0,C+,4.4118,4.3369,0.4101,1.6299,1.6339,5.9369,3.7106,7.5531,8.65,,,,0.004705908345397969,0.0237574717943536,3,11396068.5226,11396068.5226,5.39,20070919
96,688616.SH,688616,西力科技,电器仪表,浙江,35.0,55.0,45.0,C+,23.9683,26.1359,2.9265,4.2347,4.7769,2.127,2.127,12.6643,12.8,,3.6296,3.4046,(0.08627804912002146+0j),-0.0679841059892774,3,248618.2753,248618.2753,13.86,20210318
97,688101.SH,688101,三达膜,环境保护,陕西,40.0,50.0,45.0,C+,18.92,15.7734,1.3453,4.2824,3.9193,,,8.0177,8.02,,2.324,1.7903,(0.1180339887498949+0j),-0.0180358183490884,3,595629.6464,595629.6464,17.94,20191115
98,002507.SZ,2507,涪陵榨菜,食品,重庆,50.0,40.0,45.0,C+,19.1996,19.1469,1.7732,6.4291,6.3333,3.1579,4.6617,9.4363,9.44,,12.555,11.5971,(-0.021054989627439125+0j),-0.012894590175855,3,1534712.3072,1528056.305,13.3,20101123
99,002763.SZ,2763,汇洁股份,服饰,深圳,60.0,30.0,45.0,C+,42.1595,42.5989,1.7856,1.1282,1.1086,5.5351,5.5351,4.0035,4.03,,3.1439,1.924,(-0.34287125932722906+0j),0.0042454140920245,3,333268.212,246826.1496,8.13,20150610
100,600350.SH,600350,山东高速,路桥,山东,70.0,20.0,45.0,C+,14.7331,14.2711,1.5915,1.6526,1.8514,4.3121,4.3121,7.521,8.95,,0.6517,0.6276,(-0.030068790829654635+0j),0.0348051183942597,3,4708871.9836,4708871.9836,9.74,20020318
