ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,profit_dedt,bps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,roe,roe_waa,roe_dt,roe_yearly,netprofit_margin,gross_margin,assets_turn,ca_turn,debt_to_assets,current_ratio,quick_ratio,cash_ratio,op_income,fcff,fcfe,eps_5y_cagr,revenue_5y_cagr,data_years,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv,value_score,quality_score,total_score,rating,rank
301279.SZ,301279,金道科技,浙江,工程机械,创业板,SZSE,20220413,N,20241231,0.43,0.43,6.2095,6.2095,41039388.85,13.2063,8.8321,0.4224,3.0566,3.2361,3.24,3.1102,3.2361,6.8764,,0.3711,0.7877,20.4451,2.4629,1.9058,1.8706,38675192.13,-47316070.8433,-19676241.9233,-0.06322306795685706,-0.0231724708853456,3,20260227.0,31.22,94.8595,66.3513,3.0081,6.5229,6.0013,0.6363,0.6363,405045.0737,306116.6987,5.0,15.0,10.0,D,878
001259.SZ,1259,利仁科技,北京,家用电器,主板,SZSE,20220831,N,20241231,0.1483,0.1483,5.1829,5.1829,10434353.32,9.8073,5.4162,0.2847,3.3828,1.4617,1.47,1.408,1.4617,2.5237,,0.4284,0.5876,21.9131,3.0848,2.5906,2.4157,737565.53,-56199441.16,-56199441.16,(-0.2809137209565825+0j),-0.0570807839345272,3,20260227.0,36.35,246.946,546.1568,3.7452,7.0135,6.5895,0.4348,0.4348,267495.6079,172824.2539,5.0,15.0,10.0,D,879
603668.SH,603668,天马科技,福建,饲料,主板,SSE,20170117,H,20241231,0.05,,11.6538,11.6538,9853032.72,4.4533,2.4403,0.2079,0.7973,1.1706,1.18,0.4431,1.1706,,,0.647,1.3336,68.6257,0.8425,0.2401,0.1952,37486612.48,-81883818.9759,-475831304.7859,,-0.1477534085921867,3,20260227.0,14.82,287.9006,273.576,3.1826,1.2803,1.2792,,,749481.8891,749481.8891,20.0,0.0,10.0,D,880
603626.SH,603626,科森科技,江苏,元器件,主板,SSE,20170209,H,20241231,-0.86,-0.86,6.0955,6.0955,-421362734.99,4.063,3.1525,0.1851,-0.235,-18.7753,-18.81,-16.5913,-18.7753,,,0.6242,1.6062,59.4143,0.8639,0.6866,0.6585,-469161177.71,-158965907.23,78691426.1,,0.1413134675638652,3,20260227.0,27.79,,,7.2289,4.5591,4.799,,,1542010.6585,1542010.6585,5.0,15.0,10.0,D,881
600053.SH,600053,九鼎投资,江西,多元金融,主板,SSE,19970418,H,20241231,-0.6189,-0.6189,0.7788,0.7788,-228330006.27,6.0614,0.4452,0.5,4.0255,-9.7227,-9.72,-8.2743,-9.7227,,,0.1071,0.1572,8.8126,9.7918,2.4519,2.359,-176645211.1,-36074320.68,-36074320.68,(-0.9999999999999998+4.181273830719249j),0.0969673895091307,3,20260227.0,18.48,,,3.116,23.7293,28.6737,,,801183.3984,801183.3984,5.0,15.0,10.0,D,882
688126.SH,688126,沪硅产业,上海,半导体,科创板,SSE,20200420,H,20241231,-0.353,-0.353,1.2331,1.2331,-1243061600.0,4.4771,2.5587,0.0071,0.4606,-7.0807,-7.07,-9.0689,-7.0807,,,0.1162,0.3461,34.3987,2.385,1.9796,1.6772,-1498927355.82,-5441504462.95,-4135592045.13,(-0.9999999999999999+2.2784153419840365j),0.0304500291380411,3,20260227.0,21.72,,,3.5755,21.1905,20.2204,,,7178510.8096,5933162.603,5.0,15.0,10.0,D,883
605069.SH,605069,正和生态,北京,环境保护,主板,SSE,20210816,N,20241231,-0.79,-0.79,1.6831,1.6831,-167877695.41,4.1218,4.0403,0.3673,-1.2626,-17.5089,-17.46,-17.5058,-17.5089,,,0.1024,0.2376,70.1356,0.9652,0.9652,0.5033,-169884507.02,166388330.89,73753602.85,,0.4764480948602543,3,20260227.0,13.87,,,3.4489,8.2405,9.0476,,,293624.8181,293624.8181,5.0,15.0,10.0,D,884
688709.SH,688709,成都华微,四川,半导体,科创板,SSE,20240207,H,20241231,0.2,0.2,0.9482,0.9482,87616956.37,4.4114,2.3516,0.1014,0.9583,5.9274,4.83,4.251,5.9274,21.5678,,0.2032,0.2626,22.8864,5.0293,4.2104,4.0615,89800039.05,-300783313.4157,-472433363.4157,(-0.4076511222409076+0j),-0.2555681073583703,3,20260227.0,47.58,248.025,312.9752,10.5398,50.1767,43.3623,0.042,0.042,3030118.1497,1055068.6623,0.0,20.0,10.0,D,885
300066.SZ,300066,三川智慧,江西,电器仪表,创业板,SZSE,20100326,S,20241231,0.0613,0.0613,1.4166,1.4166,-16740886.47,2.4057,0.0683,0.2092,1.1102,2.5638,2.57,-0.6731,2.5638,1.5253,,0.477,0.749,11.7134,6.2508,5.2606,4.4382,-111220002.62,156436960.4557,-64363039.5443,(-0.48452638549824145+0j),-0.1969763077873005,3,20260227.0,8.26,134.7182,63.0964,3.285,5.8309,7.2218,0.3632,0.3632,859067.4744,830881.9474,5.0,15.0,10.0,D,886
601106.SH,601106,中国一重,黑龙江,工程机械,主板,SSE,20100209,H,20241231,-0.5448,-0.5448,2.4231,2.4231,-3762140398.43,0.7802,1.4025,0.0183,-1.7006,,,,,,,0.4156,0.6768,85.7067,0.9906,0.6507,0.3573,-3518006404.88,2207001678.79,3610195367.49,,-0.016168904805538,3,20260227.0,5.15,,,6.6968,2.1253,3.7001,,,3531758.2074,3531758.2074,5.0,15.0,10.0,D,887
